['street_traffic-prague-1193-44261.mp4', 'street_traffic']
['metro_station-milan-1187-45226.mp4', 'metro_station']
['park-barcelona-241-7181.mp4', 'park']
['metro-milan-1218-44276.mp4', 'metro']
['street_traffic-lisbon-1171-44575.mp4', 'street_traffic']
['park-prague-1185-44457.mp4', 'park']
['public_square-lyon-1178-45579.mp4', 'public_square']
['airport-prague-1173-44705.mp4', 'airport']
['park-prague-1185-44221.mp4', 'park']
['public_square-lyon-1178-45342.mp4', 'public_square']
['street_pedestrian-lyon-1162-44649.mp4', 'street_pedestrian']
['park-milan-1164-44131.mp4', 'park']
['tram-prague-1210-44236.mp4', 'tram']
['street_pedestrian-barcelona-260-7903.mp4', 'street_pedestrian']
['metro-milan-1197-44875.mp4', 'metro']
['street_traffic-barcelona-268-8168.mp4', 'street_traffic']
['park-milan-1164-44162.mp4', 'park']
['public_square-prague-1214-44651.mp4', 'public_square']
['shopping_mall-barcelona-254-7615.mp4', 'shopping_mall']
['tram-lyon-1216-44600.mp4', 'tram']
['shopping_mall-barcelona-254-7632.mp4', 'shopping_mall']
['metro_station-lyon-1167-44525.mp4', 'metro_station']
['street_traffic-prague-1193-44390.mp4', 'street_traffic']
['street_pedestrian-lyon-1162-45083.mp4', 'street_pedestrian']
['public_square-prague-1192-44454.mp4', 'public_square']
['park-lisbon-1198-44228.mp4', 'park']
['tram-prague-1184-44604.mp4', 'tram']
['street_pedestrian-prague-1203-44549.mp4', 'street_pedestrian']
['metro_station-lisbon-1221-45034.mp4', 'metro_station']
['street_traffic-helsinki-269-8172.mp4', 'street_traffic']
['metro_station-barcelona-229-6896.mp4', 'metro_station']
['airport-lisbon-1175-45350.mp4', 'airport']
['metro_station-lisbon-1221-44589.mp4', 'metro_station']
['tram-prague-1184-45322.mp4', 'tram']
['tram-milan-1182-44117.mp4', 'tram']
['park-lyon-1188-44277.mp4', 'park']
['street_pedestrian-lyon-1162-44707.mp4', 'street_pedestrian']
['bus-prague-1207-45079.mp4', 'bus']
['park-barcelona-241-7171.mp4', 'park']
['shopping_mall-milan-1183-45113.mp4', 'shopping_mall']
['metro_station-lisbon-1221-45022.mp4', 'metro_station']
['street_traffic-milan-1202-44972.mp4', 'street_traffic']
['street_traffic-lyon-1220-45479.mp4', 'street_traffic']
['metro-lyon-1206-44910.mp4', 'metro']
['metro-barcelona-220-6632.mp4', 'metro']
['tram-lyon-1225-44771.mp4', 'tram']
['metro_station-barcelona-229-6906.mp4', 'metro_station']
['street_pedestrian-milan-1205-44726.mp4', 'street_pedestrian']
['park-lyon-1188-45151.mp4', 'park']
['public_square-lisbon-1211-45029.mp4', 'public_square']
['airport-lisbon-1175-44210.mp4', 'airport']
['bus-lyon-1177-45598.mp4', 'bus']
['shopping_mall-lyon-1196-45170.mp4', 'shopping_mall']
['street_pedestrian-prague-1203-45434.mp4', 'street_pedestrian']
['public_square-barcelona-248-7396.mp4', 'public_square']
['metro_station-lyon-1179-44451.mp4', 'metro_station']
['airport-lyon-1169-45487.mp4', 'airport']
['metro_station-lyon-1167-45751.mp4', 'metro_station']
['street_traffic-milan-1202-44391.mp4', 'street_traffic']
['airport-lisbon-1175-44186.mp4', 'airport']
['shopping_mall-prague-1219-45622.mp4', 'shopping_mall']
['park-helsinki-242-7191.mp4', 'park']
['park-lyon-1188-44984.mp4', 'park']
['bus-lyon-1186-45264.mp4', 'bus']
['public_square-lyon-1178-44368.mp4', 'public_square']
['shopping_mall-lyon-1196-44144.mp4', 'shopping_mall']
['metro-lisbon-1217-45455.mp4', 'metro']
['public_square-lisbon-1211-44441.mp4', 'public_square']
['street_pedestrian-milan-1205-44980.mp4', 'street_pedestrian']
['metro-prague-1163-45559.mp4', 'metro']
['metro_station-milan-1187-44635.mp4', 'metro_station']
['public_square-lyon-1208-44303.mp4', 'public_square']
['metro_station-lyon-1179-44994.mp4', 'metro_station']
['metro-lyon-1181-45649.mp4', 'metro']
['street_traffic-lisbon-1171-44881.mp4', 'street_traffic']
['bus-lisbon-1226-44491.mp4', 'bus']
['street_traffic-lisbon-1171-44836.mp4', 'street_traffic']
['metro_station-lisbon-1221-44499.mp4', 'metro_station']
['metro-lisbon-1199-45418.mp4', 'metro']
['street_pedestrian-lisbon-1174-44646.mp4', 'street_pedestrian']
['metro_station-prague-1170-45743.mp4', 'metro_station']
['metro-prague-1213-45711.mp4', 'metro']
['street_pedestrian-prague-1203-44501.mp4', 'street_pedestrian']
['shopping_mall-barcelona-254-7637.mp4', 'shopping_mall']
['shopping_mall-lyon-1196-45202.mp4', 'shopping_mall']
['park-lisbon-1198-44675.mp4', 'park']
['public_square-prague-1192-44139.mp4', 'public_square']
['park-lisbon-1198-44892.mp4', 'park']
['shopping_mall-lisbon-1176-45042.mp4', 'shopping_mall']
['metro-lisbon-1224-45308.mp4', 'metro']
['street_pedestrian-barcelona-261-7911.mp4', 'street_pedestrian']
['metro_station-lyon-1167-45389.mp4', 'metro_station']
['public_square-lyon-1208-45510.mp4', 'public_square']
['street_pedestrian-prague-1203-44652.mp4', 'street_pedestrian']
['public_square-lyon-1178-44614.mp4', 'public_square']
['park-prague-1185-44690.mp4', 'park']
['metro-lisbon-1224-45653.mp4', 'metro']
['park-prague-1185-44590.mp4', 'park']
['shopping_mall-lyon-1196-44143.mp4', 'shopping_mall']
['metro_station-prague-1170-44318.mp4', 'metro_station']
['public_square-prague-1192-44657.mp4', 'public_square']
['metro_station-prague-1170-44969.mp4', 'metro_station']
['public_square-milan-1168-44099.mp4', 'public_square']
['shopping_mall-milan-1183-44634.mp4', 'shopping_mall']
['street_pedestrian-prague-1203-45379.mp4', 'street_pedestrian']
['shopping_mall-lyon-1196-45517.mp4', 'shopping_mall']
['metro_station-lyon-1167-44867.mp4', 'metro_station']
['public_square-prague-1214-44267.mp4', 'public_square']
['street_traffic-barcelona-268-8145.mp4', 'street_traffic']
['street_pedestrian-prague-1203-44222.mp4', 'street_pedestrian']
['shopping_mall-lisbon-1176-44693.mp4', 'shopping_mall']
['bus-prague-1207-44520.mp4', 'bus']
['metro_station-barcelona-229-6903.mp4', 'metro_station']
['street_pedestrian-milan-1205-45246.mp4', 'street_pedestrian']
['street_pedestrian-milan-1205-44656.mp4', 'street_pedestrian']
['tram-prague-1184-44141.mp4', 'tram']
['shopping_mall-milan-1183-44794.mp4', 'shopping_mall']
['bus-milan-1180-45305.mp4', 'bus']
['street_pedestrian-milan-1165-44540.mp4', 'street_pedestrian']
['tram-lyon-1216-44562.mp4', 'tram']
['street_pedestrian-barcelona-260-7897.mp4', 'street_pedestrian']
['park-barcelona-241-7173.mp4', 'park']
['metro_station-milan-1187-44755.mp4', 'metro_station']
['airport-prague-1195-45065.mp4', 'airport']
['shopping_mall-milan-1183-45037.mp4', 'shopping_mall']
['park-prague-1185-45377.mp4', 'park']
['public_square-lisbon-1211-45099.mp4', 'public_square']
['metro-prague-1163-45735.mp4', 'metro']
['metro_station-lyon-1179-44683.mp4', 'metro_station']
['tram-milan-1222-45232.mp4', 'tram']
['street_traffic-lisbon-1171-45173.mp4', 'street_traffic']
['metro_station-lyon-1179-44459.mp4', 'metro_station']
['shopping_mall-prague-1219-44754.mp4', 'shopping_mall']
['tram-lisbon-1191-45169.mp4', 'tram']
['metro-lisbon-1224-45411.mp4', 'metro']
['shopping_mall-prague-1219-45380.mp4', 'shopping_mall']
['street_traffic-barcelona-268-8135.mp4', 'street_traffic']
['metro_station-lyon-1179-44778.mp4', 'metro_station']
['shopping_mall-lisbon-1176-45605.mp4', 'shopping_mall']
['tram-prague-1184-45518.mp4', 'tram']
['tram-prague-1189-44561.mp4', 'tram']
['metro-milan-1218-45075.mp4', 'metro']
['metro_station-lyon-1167-44615.mp4', 'metro_station']
['tram-lisbon-1200-45464.mp4', 'tram']
['shopping_mall-lyon-1196-45566.mp4', 'shopping_mall']
['street_pedestrian-lyon-1162-45619.mp4', 'street_pedestrian']
['metro_station-lyon-1179-44877.mp4', 'metro_station']
['shopping_mall-lisbon-1176-44404.mp4', 'shopping_mall']
['street_pedestrian-milan-1165-44719.mp4', 'street_pedestrian']
['bus-prague-1194-45626.mp4', 'bus']
['bus-lyon-1186-45122.mp4', 'bus']
['metro_station-lyon-1167-44628.mp4', 'metro_station']
['bus-lisbon-1212-45457.mp4', 'bus']
['street_traffic-prague-1193-45586.mp4', 'street_traffic']
['shopping_mall-lyon-1196-45674.mp4', 'shopping_mall']
['public_square-lisbon-1211-44893.mp4', 'public_square']
['bus-prague-1207-45430.mp4', 'bus']
['public_square-milan-1168-45164.mp4', 'public_square']
['bus-prague-1207-44175.mp4', 'bus']
['street_traffic-lyon-1220-44519.mp4', 'street_traffic']
['street_pedestrian-lisbon-1174-44179.mp4', 'street_pedestrian']
['park-prague-1185-45288.mp4', 'park']
['airport-milan-1172-44524.mp4', 'airport']
['metro_station-barcelona-229-6894.mp4', 'metro_station']
['bus-milan-1190-44273.mp4', 'bus']
['shopping_mall-milan-1183-45222.mp4', 'shopping_mall']
['public_square-prague-1192-45523.mp4', 'public_square']
['tram-lisbon-1200-45442.mp4', 'tram']
['public_square-milan-1168-44744.mp4', 'public_square']
['shopping_mall-barcelona-254-7616.mp4', 'shopping_mall']
['metro_station-lisbon-1221-44774.mp4', 'metro_station']
['bus-milan-1180-44465.mp4', 'bus']
['shopping_mall-lyon-1196-45439.mp4', 'shopping_mall']
['public_square-lisbon-1211-44988.mp4', 'public_square']
['metro-prague-1213-44903.mp4', 'metro']
['tram-lyon-1216-45563.mp4', 'tram']
['street_pedestrian-barcelona-260-7889.mp4', 'street_pedestrian']
['metro-milan-1197-44452.mp4', 'metro']
['bus-lyon-1177-45275.mp4', 'bus']
['shopping_mall-milan-1183-44622.mp4', 'shopping_mall']
['bus-lisbon-1223-45244.mp4', 'bus']
['tram-lisbon-1191-44252.mp4', 'tram']
['shopping_mall-lyon-1196-44721.mp4', 'shopping_mall']
['bus-lyon-1186-44716.mp4', 'bus']
['street_traffic-prague-1193-44756.mp4', 'street_traffic']
['airport-lyon-1169-44528.mp4', 'airport']
['street_traffic-prague-1193-44472.mp4', 'street_traffic']
['airport-milan-1172-44887.mp4', 'airport']
['public_square-lyon-1178-45475.mp4', 'public_square']
['bus-lisbon-1212-45601.mp4', 'bus']
['public_square-lisbon-1211-44699.mp4', 'public_square']
['bus-lyon-1186-44750.mp4', 'bus']
['public_square-prague-1192-44402.mp4', 'public_square']
['street_pedestrian-prague-1203-45452.mp4', 'street_pedestrian']
['street_pedestrian-barcelona-260-7890.mp4', 'street_pedestrian']
['metro-lisbon-1224-44603.mp4', 'metro']
['street_pedestrian-barcelona-261-7910.mp4', 'street_pedestrian']
['metro-prague-1213-44857.mp4', 'metro']
['public_square-barcelona-248-7398.mp4', 'public_square']
['tram-lisbon-1200-45206.mp4', 'tram']
['street_pedestrian-lisbon-1174-44260.mp4', 'street_pedestrian']
['park-lisbon-1198-45199.mp4', 'park']
['street_pedestrian-lyon-1162-44185.mp4', 'street_pedestrian']
['airport-prague-1195-45063.mp4', 'airport']
['tram-prague-1184-44968.mp4', 'tram']
['bus-prague-1207-44322.mp4', 'bus']
['tram-milan-1182-45488.mp4', 'tram']
['shopping_mall-barcelona-254-7609.mp4', 'shopping_mall']
['metro_station-prague-1170-45381.mp4', 'metro_station']
['public_square-milan-1168-45687.mp4', 'public_square']
['airport-lyon-1169-45519.mp4', 'airport']
['public_square-lyon-1208-44816.mp4', 'public_square']
['shopping_mall-barcelona-254-7627.mp4', 'shopping_mall']
['street_pedestrian-lisbon-1174-44854.mp4', 'street_pedestrian']
['street_traffic-lyon-1220-44456.mp4', 'street_traffic']
['tram-prague-1189-45529.mp4', 'tram']
['tram-lyon-1225-44574.mp4', 'tram']
['metro_station-lyon-1167-44787.mp4', 'metro_station']
['airport-prague-1195-44824.mp4', 'airport']
['metro-lisbon-1199-45513.mp4', 'metro']
['park-lisbon-1198-45557.mp4', 'park']
['metro-prague-1204-44537.mp4', 'metro']
['bus-prague-1207-45092.mp4', 'bus']
['street_pedestrian-milan-1205-45509.mp4', 'street_pedestrian']
['bus-prague-1215-44400.mp4', 'bus']
['public_square-prague-1214-44516.mp4', 'public_square']
['shopping_mall-barcelona-254-7630.mp4', 'shopping_mall']
['street_pedestrian-milan-1165-44803.mp4', 'street_pedestrian']
['shopping_mall-prague-1219-45014.mp4', 'shopping_mall']
['street_pedestrian-lyon-1162-44921.mp4', 'street_pedestrian']
['park-prague-1185-44373.mp4', 'park']
['bus-lyon-1186-45388.mp4', 'bus']
['airport-milan-1172-44533.mp4', 'airport']
['street_traffic-prague-1193-44917.mp4', 'street_traffic']
['public_square-lyon-1178-45398.mp4', 'public_square']
['metro_station-lyon-1167-44229.mp4', 'metro_station']
['street_traffic-barcelona-268-8161.mp4', 'street_traffic']
['metro-lyon-1206-44364.mp4', 'metro']
['street_traffic-milan-1202-44201.mp4', 'street_traffic']
['airport-prague-1173-45032.mp4', 'airport']
['airport-milan-1172-45505.mp4', 'airport']
['metro-lyon-1201-45136.mp4', 'metro']
['street_pedestrian-milan-1165-45477.mp4', 'street_pedestrian']
['bus-prague-1194-44383.mp4', 'bus']
['park-milan-1164-44676.mp4', 'park']
['airport-prague-1195-45597.mp4', 'airport']
['metro_station-lyon-1167-45272.mp4', 'metro_station']
['park-lisbon-1198-45610.mp4', 'park']
['tram-milan-1209-45314.mp4', 'tram']
['street_pedestrian-prague-1203-45427.mp4', 'street_pedestrian']
['public_square-lyon-1208-45668.mp4', 'public_square']
['metro_station-milan-1187-44931.mp4', 'metro_station']
['public_square-lyon-1208-44180.mp4', 'public_square']
['metro_station-lyon-1179-44257.mp4', 'metro_station']
