['street_pedestrian-lyon-1162-44921.mp4', 'outdoor']
['tram-prague-1210-45319.mp4', 'vehicle']
['street_pedestrian-milan-1165-45285.mp4', 'outdoor']
['bus-lisbon-1212-44463.mp4', 'vehicle']
['shopping_mall-milan-1183-44962.mp4', 'indoor']
['park-lisbon-1198-44675.mp4', 'outdoor']
['street_pedestrian-prague-1203-45379.mp4', 'outdoor']
['tram-lyon-1225-45138.mp4', 'vehicle']
['street_pedestrian-lisbon-1174-44627.mp4', 'outdoor']
['shopping_mall-lisbon-1176-45495.mp4', 'indoor']
['street_pedestrian-prague-1203-44222.mp4', 'outdoor']
['metro_station-lyon-1167-44229.mp4', 'indoor']
['street_traffic-milan-1202-45137.mp4', 'outdoor']
['metro-lyon-1201-44608.mp4', 'vehicle']
['park-barcelona-241-7162.mp4', 'outdoor']
['airport-lyon-1169-45185.mp4', 'indoor']
['street_traffic-lisbon-1171-45055.mp4', 'outdoor']
['shopping_mall-prague-1219-45380.mp4', 'indoor']
['park-helsinki-242-7223.mp4', 'outdoor']
['airport-prague-1195-45657.mp4', 'indoor']
['park-helsinki-242-7189.mp4', 'outdoor']
['tram-milan-1222-45317.mp4', 'vehicle']
['street_traffic-lyon-1220-45243.mp4', 'outdoor']
['metro-prague-1204-45499.mp4', 'vehicle']
['shopping_mall-prague-1219-45097.mp4', 'indoor']
['metro-lisbon-1199-44282.mp4', 'vehicle']
['bus-milan-1190-44926.mp4', 'vehicle']
['park-helsinki-242-7185.mp4', 'outdoor']
['public_square-milan-1168-45667.mp4', 'outdoor']
['airport-lisbon-1175-45450.mp4', 'indoor']
['public_square-milan-1168-44641.mp4', 'outdoor']
['metro_station-prague-1170-44643.mp4', 'indoor']
['park-milan-1164-45372.mp4', 'outdoor']
['bus-lisbon-1212-45457.mp4', 'vehicle']
['airport-prague-1173-44309.mp4', 'indoor']
['park-lyon-1188-44848.mp4', 'outdoor']
['park-lyon-1188-44323.mp4', 'outdoor']
['bus-milan-1190-44489.mp4', 'vehicle']
['metro_station-lyon-1179-44181.mp4', 'indoor']
['street_pedestrian-lyon-1162-44786.mp4', 'outdoor']
['metro-lyon-1181-45575.mp4', 'vehicle']
['street_pedestrian-milan-1165-44591.mp4', 'outdoor']
['metro-prague-1204-45313.mp4', 'vehicle']
['street_traffic-lyon-1220-44456.mp4', 'outdoor']
['tram-lisbon-1191-44696.mp4', 'vehicle']
['metro_station-lisbon-1221-45043.mp4', 'indoor']
['bus-milan-1180-45241.mp4', 'vehicle']
['shopping_mall-lisbon-1176-44480.mp4', 'indoor']
['bus-lyon-1186-44750.mp4', 'vehicle']
['public_square-lyon-1208-45044.mp4', 'outdoor']
['metro-prague-1213-44903.mp4', 'vehicle']
['shopping_mall-lyon-1196-45625.mp4', 'indoor']
['bus-prague-1215-44335.mp4', 'vehicle']
['street_pedestrian-prague-1203-45624.mp4', 'outdoor']
['metro-prague-1213-44961.mp4', 'vehicle']
['park-milan-1164-44270.mp4', 'outdoor']
['street_traffic-lyon-1220-44730.mp4', 'outdoor']
['airport-london-205-6215.mp4', 'indoor']
['public_square-lyon-1208-45153.mp4', 'outdoor']
['airport-lyon-1169-44283.mp4', 'indoor']
['park-london-243-7235.mp4', 'outdoor']
['metro-milan-1197-45646.mp4', 'vehicle']
['street_pedestrian-lyon-1162-45750.mp4', 'outdoor']
['metro-milan-1218-45486.mp4', 'vehicle']
['street_traffic-lyon-1220-45663.mp4', 'outdoor']
['airport-milan-1172-45355.mp4', 'indoor']
['park-lisbon-1198-44423.mp4', 'outdoor']
['airport-lisbon-1175-45108.mp4', 'indoor']
['street_pedestrian-milan-1165-44742.mp4', 'outdoor']
['metro-prague-1213-45005.mp4', 'vehicle']
['public_square-milan-1168-44828.mp4', 'outdoor']
['metro-milan-1218-44276.mp4', 'vehicle']
['metro-lisbon-1224-45413.mp4', 'vehicle']
['park-milan-1164-44883.mp4', 'outdoor']
['tram-lisbon-1200-44152.mp4', 'vehicle']
['street_pedestrian-milan-1205-44244.mp4', 'outdoor']
['park-helsinki-242-7200.mp4', 'outdoor']
['metro_station-milan-1187-44328.mp4', 'indoor']
['bus-lyon-1186-45090.mp4', 'vehicle']
['street_pedestrian-lyon-1162-45402.mp4', 'outdoor']
['bus-milan-1190-45603.mp4', 'vehicle']
['shopping_mall-lyon-1196-45194.mp4', 'indoor']
['airport-prague-1195-45109.mp4', 'indoor']
['metro-prague-1163-45559.mp4', 'vehicle']
['airport-lisbon-1175-44864.mp4', 'indoor']
['public_square-prague-1192-44402.mp4', 'outdoor']
['shopping_mall-milan-1183-44894.mp4', 'indoor']
['street_pedestrian-lisbon-1174-44128.mp4', 'outdoor']
['street_traffic-lisbon-1171-45694.mp4', 'outdoor']
['bus-lisbon-1226-45632.mp4', 'vehicle']
